country_ISO3,year,temperature,precipitation,crop
ARG,2000,14.45,721.03,tea only
ARG,2001,15.08,716.55,tea only
ARG,2002,14.84,757.75,tea only
ARG,2003,15.23,593.14,tea only
ARG,2004,15.24,576.61,tea only
ARG,2005,14.9,574.79,tea only
ARG,2006,15.46,597.45,tea only
ARG,2007,14.44,586.57,tea only
ARG,2008,15.33,535.56,tea only
ARG,2009,15.42,537.03,tea only
ARG,2010,14.9,553.24,tea only
ARG,2011,15.15,565.2,tea only
ARG,2012,15.61,622.43,tea only
ARG,2013,15.4,520.19,tea only
ARG,2014,15.41,700.3,tea only
ARG,2015,15.51,648.89,tea only
ARG,2016,14.94,660.45,tea only
ARG,2017,15.57,633.1,tea only
ARG,2018,15.27,595.47,tea only
ARG,2019,15.22,588.62,tea only
ARG,2020,15.55,497.52,tea only
ARG,2021,15.42,536.52,tea only
ARG,2022,15.13,479.21,tea only
ARG,2023,15.95,565.34,tea only
ARG,2024,15.56,600.01,tea only
BGD,2000,25.28,2332.93,tea only
BGD,2001,25.86,2252.27,tea only
BGD,2002,25.76,2301.65,tea only
BGD,2003,25.78,2150.53,tea only
BGD,2004,25.7,2214.81,tea only
BGD,2005,25.97,1991.46,tea only
BGD,2006,26.19,1901.93,tea only
BGD,2007,25.97,2456.52,tea only
BGD,2008,25.74,2155.42,tea only
BGD,2009,26.49,1957.16,tea only
BGD,2010,26.38,2193.72,tea only
BGD,2011,25.74,1994.39,tea only
BGD,2012,25.47,1947.81,tea only
BGD,2013,25.18,1996.31,tea only
BGD,2014,25.65,1770.36,tea only
BGD,2015,25.45,2486.1,tea only
BGD,2016,25.88,2076.43,tea only
BGD,2017,25.68,2681.73,tea only
BGD,2018,25.3,1770.57,tea only
BGD,2019,25.65,1989.33,tea only
BGD,2020,25.42,2428.5,tea only
BGD,2021,25.76,2092.51,tea only
BGD,2022,25.75,1757.35,tea only
BGD,2023,26.02,2074.6,tea only
BGD,2024,26.18,2020.96,tea only
BRA,2000,25.12,1955.68,coffee only
BRA,2001,25.4,1773.52,coffee only
BRA,2002,25.67,1810.1,coffee only
BRA,2003,25.45,1741.13,coffee only
BRA,2004,25.38,1830.7,coffee only
BRA,2005,25.63,1834.38,coffee only
BRA,2006,25.45,1874.41,coffee only
