country_ISO3,year,precipitation,crop
ARG,2000,721.03,tea only
ARG,2001,716.55,tea only
ARG,2002,757.75,tea only
ARG,2003,593.14,tea only
ARG,2004,576.61,tea only
ARG,2005,574.79,tea only
ARG,2006,597.45,tea only
ARG,2007,586.57,tea only
ARG,2008,535.56,tea only
ARG,2009,537.03,tea only
ARG,2010,553.24,tea only
ARG,2011,565.2,tea only
ARG,2012,622.43,tea only
ARG,2013,520.19,tea only
ARG,2014,700.3,tea only
ARG,2015,648.89,tea only
ARG,2016,660.45,tea only
ARG,2017,633.1,tea only
ARG,2018,595.47,tea only
ARG,2019,588.62,tea only
ARG,2020,497.52,tea only
ARG,2021,536.52,tea only
ARG,2022,479.21,tea only
ARG,2023,565.34,tea only
ARG,2024,600.01,tea only
BGD,2000,2332.93,tea only
BGD,2001,2252.27,tea only
BGD,2002,2301.65,tea only
BGD,2003,2150.53,tea only
BGD,2004,2214.81,tea only
BGD,2005,1991.46,tea only
BGD,2006,1901.93,tea only
BGD,2007,2456.52,tea only
BGD,2008,2155.42,tea only
BGD,2009,1957.16,tea only
BGD,2010,2193.72,tea only
BGD,2011,1994.39,tea only
BGD,2012,1947.81,tea only
BGD,2013,1996.31,tea only
BGD,2014,1770.36,tea only
BGD,2015,2486.1,tea only
BGD,2016,2076.43,tea only
BGD,2017,2681.73,tea only
BGD,2018,1770.57,tea only
BGD,2019,1989.33,tea only
BGD,2020,2428.5,tea only
BGD,2021,2092.51,tea only
BGD,2022,1757.35,tea only
BGD,2023,2074.6,tea only
BGD,2024,2020.96,tea only
BRA,2000,1955.68,coffee only
BRA,2001,1773.52,coffee only
BRA,2002,1810.1,coffee only
BRA,2003,1741.13,coffee only
BRA,2004,1830.7,coffee only
BRA,2005,1834.38,coffee only
BRA,2006,1874.41,coffee only
BRA,2007,1754.49,coffee only
BRA,2008,1917.91,coffee only
BRA,2009,1957.9,coffee only
BRA,2010,1771.11,coffee only
BRA,2011,1883.53,coffee only
BRA,2012,1667.72,coffee only
BRA,2013,1837.39,coffee only
BRA,2014,1748.77,coffee only
BRA,2015,1582.52,coffee only
BRA,2016,1614.47,coffee only
BRA,2017,1654.32,coffee only
BRA,2018,1793.4,coffee only
BRA,2019,1686.49,coffee only
BRA,2020,1724.36,coffee only
BRA,2021,1781.16,coffee only
BRA,2022,1710.51,coffee only
BRA,2023,1588.1,coffee only
BRA,2024,1676.33,coffee only
CHN,2000,601.03,tea only
CHN,2001,577.3,tea only
CHN,2002,633.56,tea only
CHN,2003,599.3,tea only
CHN,2004,571.24,tea only
CHN,2005,599.06,tea only
CHN,2006,573.27,tea only
CHN,2007,579.08,tea only
CHN,2008,614.37,tea only
CHN,2009,558.89,tea only
CHN,2010,641.21,tea only
CHN,2011,532.1,tea only
CHN,2012,646.1,tea only
CHN,2013,614.5,tea only
CHN,2014,615.12,tea only
CHN,2015,633.23,tea only
CHN,2016,674.15,tea only
CHN,2017,626.81,tea only
CHN,2018,637.29,tea only
CHN,2019,615.63,tea only
CHN,2020,646.74,tea only
CHN,2021,654.33,tea only
CHN,2022,599.98,tea only
CHN,2023,608.68,tea only
CHN,2024,661.09,tea only
CIV,2000,1288.17,coffee only
CIV,2001,1397.68,coffee only
CIV,2002,1288.97,coffee only
CIV,2003,1406.32,coffee only
CIV,2004,1304.23,coffee only
CIV,2005,1260.02,coffee only
