country_ISO3,year,temperature,crop
ARG,2000,14.45,tea only
ARG,2001,15.08,tea only
ARG,2002,14.84,tea only
ARG,2003,15.23,tea only
ARG,2004,15.24,tea only
ARG,2005,14.9,tea only
ARG,2006,15.46,tea only
ARG,2007,14.44,tea only
ARG,2008,15.33,tea only
ARG,2009,15.42,tea only
ARG,2010,14.9,tea only
ARG,2011,15.15,tea only
ARG,2012,15.61,tea only
ARG,2013,15.4,tea only
ARG,2014,15.41,tea only
ARG,2015,15.51,tea only
ARG,2016,14.94,tea only
ARG,2017,15.57,tea only
ARG,2018,15.27,tea only
ARG,2019,15.22,tea only
ARG,2020,15.55,tea only
ARG,2021,15.42,tea only
ARG,2022,15.13,tea only
ARG,2023,15.95,tea only
ARG,2024,15.56,tea only
BGD,2000,25.28,tea only
BGD,2001,25.86,tea only
BGD,2002,25.76,tea only
BGD,2003,25.78,tea only
BGD,2004,25.7,tea only
BGD,2005,25.97,tea only
BGD,2006,26.19,tea only
BGD,2007,25.97,tea only
BGD,2008,25.74,tea only
BGD,2009,26.49,tea only
BGD,2010,26.38,tea only
BGD,2011,25.74,tea only
BGD,2012,25.47,tea only
BGD,2013,25.18,tea only
BGD,2014,25.65,tea only
BGD,2015,25.45,tea only
BGD,2016,25.88,tea only
BGD,2017,25.68,tea only
BGD,2018,25.3,tea only
BGD,2019,25.65,tea only
BGD,2020,25.42,tea only
BGD,2021,25.76,tea only
BGD,2022,25.75,tea only
BGD,2023,26.02,tea only
BGD,2024,26.18,tea only
BRA,2000,25.12,coffee only
BRA,2001,25.4,coffee only
BRA,2002,25.67,coffee only
BRA,2003,25.45,coffee only
BRA,2004,25.38,coffee only
BRA,2005,25.63,coffee only
BRA,2006,25.45,coffee only
BRA,2007,25.57,coffee only
BRA,2008,25.28,coffee only
BRA,2009,25.49,coffee only
BRA,2010,25.7,coffee only
BRA,2011,25.4,coffee only
BRA,2012,25.6,coffee only
BRA,2013,25.53,coffee only
BRA,2014,25.7,coffee only
BRA,2015,25.99,coffee only
BRA,2016,25.78,coffee only
BRA,2017,25.74,coffee only
BRA,2018,25.57,coffee only
BRA,2019,25.9,coffee only
BRA,2020,25.85,coffee only
BRA,2021,25.53,coffee only
BRA,2022,25.47,coffee only
BRA,2023,25.92,coffee only
BRA,2024,26.02,coffee only
CHN,2000,7.25,tea only
CHN,2001,7.61,tea only
CHN,2002,7.84,tea only
CHN,2003,7.53,tea only
CHN,2004,7.76,tea only
CHN,2005,7.51,tea only
CHN,2006,7.99,tea only
CHN,2007,8.19,tea only
CHN,2008,7.64,tea only
CHN,2009,7.82,tea only
CHN,2010,7.58,tea only
CHN,2011,7.37,tea only
CHN,2012,7.1,tea only
CHN,2013,7.76,tea only
CHN,2014,7.72,tea only
CHN,2015,7.99,tea only
CHN,2016,7.95,tea only
CHN,2017,8.11,tea only
CHN,2018,7.78,tea only
CHN,2019,8.04,tea only
CHN,2020,7.95,tea only
CHN,2021,8.23,tea only
CHN,2022,8.13,tea only
CHN,2023,8.41,tea only
CHN,2024,8.52,tea only
CIV,2000,26.62,coffee only
CIV,2001,26.69,coffee only
CIV,2002,26.87,coffee only
CIV,2003,26.87,coffee only
CIV,2004,26.86,coffee only
CIV,2005,27.05,coffee only
CIV,2006,26.8,coffee only
CIV,2007,26.89,coffee only
CIV,2008,26.57,coffee only
CIV,2009,26.88,coffee only
CIV,2010,27.18,coffee only
CIV,2011,26.9,coffee only
CIV,2012,26.6,coffee only
CIV,2013,26.83,coffee only
CIV,2014,26.9,coffee only
CIV,2015,27.03,coffee only
CIV,2016,27.31,coffee only
CIV,2017,27.17,coffee only
CIV,2018,27.08,coffee only
CIV,2019,26.94,coffee only
CIV,2020,27.21,coffee only
CIV,2021,27.37,coffee only
CIV,2022,26.81,coffee only
CIV,2023,27.32,coffee only
CIV,2024,27.38,coffee only
COL,2000,24.55,coffee only
COL,2001,24.94,coffee only
COL,2002,25.08,coffee only
COL,2003,25.14,coffee only
COL,2004,24.92,coffee only
COL,2005,25.03,coffee only
COL,2006,24.9,coffee only
COL,2007,24.84,coffee only
COL,2008,24.55,coffee only
COL,2009,25.09,coffee only
COL,2010,25.25,coffee only
COL,2011,24.91,coffee only
COL,2012,25.12,coffee only
COL,2013,25.31,coffee only
COL,2014,25.45,coffee only
COL,2015,25.74,coffee only
COL,2016,25.66,coffee only
COL,2017,25.1,coffee only
COL,2018,25.03,coffee only
COL,2019,25.35,coffee only
COL,2020,25.28,coffee only
COL,2021,24.9,coffee only
COL,2022,24.7,coffee only
COL,2023,25.32,coffee only
COL,2024,25.58,coffee only
CRI,2000,24.42,coffee only
CRI,2001,24.82,coffee only
CRI,2002,24.95,coffee only
CRI,2003,25.03,coffee only
CRI,2004,24.84,coffee only
CRI,2005,24.74,coffee only
CRI,2006,24.91,coffee only
CRI,2007,24.69,coffee only
CRI,2008,24.68,coffee only
CRI,2009,25.11,coffee only
CRI,2010,24.89,coffee only
CRI,2011,24.75,coffee only
CRI,2012,24.73,coffee only
CRI,2013,24.85,coffee only
CRI,2014,25.02,coffee only
CRI,2015,25.06,coffee only
CRI,2016,24.96,coffee only
CRI,2017,24.85,coffee only
CRI,2018,24.45,coffee only
CRI,2019,24.74,coffee only
CRI,2020,24.89,coffee only
CRI,2021,24.72,coffee only
CRI,2022,24.59,coffee only
CRI,2023,25.41,coffee only
CRI,2024,25.21,coffee only
ETH,2000,23.22,coffee only
ETH,2001,23.33,coffee only
ETH,2002,23.7,coffee only
ETH,2003,23.46,coffee only
ETH,2004,23.46,coffee only
ETH,2005,23.53,coffee only
ETH,2006,23.44,coffee only
ETH,2007,23.31,coffee only
ETH,2008,23.27,coffee only
ETH,2009,23.92,coffee only
