country_ISO3,year,temperature
ARG,2000,14.45
ARG,2001,15.08
ARG,2002,14.84
ARG,2003,15.23
ARG,2004,15.24
ARG,2005,14.9
ARG,2006,15.46
ARG,2007,14.44
ARG,2008,15.33
ARG,2009,15.42
ARG,2010,14.9
ARG,2011,15.15
ARG,2012,15.61
ARG,2013,15.4
ARG,2014,15.41
ARG,2015,15.51
ARG,2016,14.94
ARG,2017,15.57
ARG,2018,15.27
ARG,2019,15.22
ARG,2020,15.55
ARG,2021,15.42
ARG,2022,15.13
ARG,2023,15.95
ARG,2024,15.56
BGD,2000,25.28
BGD,2001,25.86
BGD,2002,25.76
BGD,2003,25.78
BGD,2004,25.7
BGD,2005,25.97
BGD,2006,26.19
BGD,2007,25.97
BGD,2008,25.74
BGD,2009,26.49
BGD,2010,26.38
BGD,2011,25.74
BGD,2012,25.47
BGD,2013,25.18
BGD,2014,25.65
BGD,2015,25.45
BGD,2016,25.88
BGD,2017,25.68
BGD,2018,25.3
BGD,2019,25.65
BGD,2020,25.42
BGD,2021,25.76
BGD,2022,25.75
BGD,2023,26.02
BGD,2024,26.18
BRA,2000,25.12
BRA,2001,25.4
BRA,2002,25.67
BRA,2003,25.45
BRA,2004,25.38
BRA,2005,25.63
BRA,2006,25.45
BRA,2007,25.57
BRA,2008,25.28
BRA,2009,25.49
BRA,2010,25.7
BRA,2011,25.4
BRA,2012,25.6
BRA,2013,25.53
BRA,2014,25.7
BRA,2015,25.99
BRA,2016,25.78
BRA,2017,25.74
BRA,2018,25.57
BRA,2019,25.9
BRA,2020,25.85
BRA,2021,25.53
BRA,2022,25.47
BRA,2023,25.92
BRA,2024,26.02
CHN,2000,7.25
CHN,2001,7.61
CHN,2002,7.84
CHN,2003,7.53
CHN,2004,7.76
CHN,2005,7.51
CHN,2006,7.99
CHN,2007,8.19
CHN,2008,7.64
CHN,2009,7.82
CHN,2010,7.58
CHN,2011,7.37
CHN,2012,7.1
CHN,2013,7.76
CHN,2014,7.72
CHN,2015,7.99
CHN,2016,7.95
CHN,2017,8.11
CHN,2018,7.78
CHN,2019,8.04
CHN,2020,7.95
CHN,2021,8.23
CHN,2022,8.13
CHN,2023,8.41
CHN,2024,8.52
CIV,2000,26.62
CIV,2001,26.69
CIV,2002,26.87
CIV,2003,26.87
CIV,2004,26.86
CIV,2005,27.05
CIV,2006,26.8
CIV,2007,26.89
CIV,2008,26.57
CIV,2009,26.88
CIV,2010,27.18
CIV,2011,26.9
CIV,2012,26.6
CIV,2013,26.83
CIV,2014,26.9
CIV,2015,27.03
CIV,2016,27.31
CIV,2017,27.17
CIV,2018,27.08
CIV,2019,26.94
CIV,2020,27.21
CIV,2021,27.37
CIV,2022,26.81
CIV,2023,27.32
CIV,2024,27.38
COL,2000,24.55
COL,2001,24.94
COL,2002,25.08
COL,2003,25.14
COL,2004,24.92
COL,2005,25.03
COL,2006,24.9
COL,2007,24.84
COL,2008,24.55
COL,2009,25.09
COL,2010,25.25
COL,2011,24.91
COL,2012,25.12
COL,2013,25.31
COL,2014,25.45
COL,2015,25.74
COL,2016,25.66
COL,2017,25.1
COL,2018,25.03
COL,2019,25.35
COL,2020,25.28
COL,2021,24.9
COL,2022,24.7
COL,2023,25.32
COL,2024,25.58
CRI,2000,24.42
CRI,2001,24.82
CRI,2002,24.95
CRI,2003,25.03
CRI,2004,24.84
CRI,2005,24.74
CRI,2006,24.91
CRI,2007,24.69
CRI,2008,24.68
CRI,2009,25.11
CRI,2010,24.89
CRI,2011,24.75
CRI,2012,24.73
CRI,2013,24.85
CRI,2014,25.02
CRI,2015,25.06
CRI,2016,24.96
CRI,2017,24.85
CRI,2018,24.45
CRI,2019,24.74
CRI,2020,24.89
CRI,2021,24.72
CRI,2022,24.59
CRI,2023,25.41
CRI,2024,25.21
ETH,2000,23.22
ETH,2001,23.33
ETH,2002,23.7
ETH,2003,23.46
ETH,2004,23.46
ETH,2005,23.53
ETH,2006,23.44
ETH,2007,23.31
ETH,2008,23.27
ETH,2009,23.92
ETH,2010,23.69
ETH,2011,23.47
ETH,2012,23.41
ETH,2013,23.73
ETH,2014,23.5
ETH,2015,23.92
ETH,2016,23.93
ETH,2017,23.62
ETH,2018,23.32
ETH,2019,23.41
ETH,2020,23.3
ETH,2021,23.41
ETH,2022,23.48
ETH,2023,23.75
ETH,2024,24.17
GIN,2000,25.53
GIN,2001,25.79
GIN,2002,26.13
GIN,2003,25.93
GIN,2004,26.09
GIN,2005,26.13
GIN,2006,25.85
GIN,2007,25.99
GIN,2008,25.77
GIN,2009,25.87
GIN,2010,26.24
GIN,2011,26.01
GIN,2012,25.65
