Country_ISO3,Year,Area_Harvest_Ha,Production_Ton,Yield_Kg_Ha,Crop_Type,Country_Name,GDP_Per_Capita,Temperature,Precipitation,Crop_Dominance
ARG,2000,38620.0,323000.0,8363.5,Tea,Argentina,7637.01489203628,14.45,721.03,tea only
ARG,2001,37420.0,309000.0,8257.6,Tea,Argentina,7141.47507662826,15.08,716.55,tea only
ARG,2002,36400.0,306000.0,8406.6,Tea,Argentina,2569.69963519124,14.84,757.75,tea only
ARG,2003,36380.0,304000.0,8356.2,Tea,Argentina,3320.47775133903,15.23,593.14,tea only
ARG,2004,36670.0,306000.0,8344.7,Tea,Argentina,4242.02099089422,15.24,576.61,tea only
ARG,2005,36335.0,295000.0,8118.9,Tea,Argentina,5067.65342293276,14.9,574.79,tea only
ARG,2006,38000.0,314000.0,8263.2,Tea,Argentina,5869.38028970204,15.46,597.45,tea only
ARG,2007,40000.0,330000.0,8250.0,Tea,Argentina,7185.25155147027,14.44,586.57,tea only
ARG,2008,39000.0,348000.0,8923.1,Tea,Argentina,8944.1102657357,15.33,535.56,tea only
ARG,2009,37201.0,312000.0,8386.9,Tea,Argentina,8150.23527028221,15.42,537.03,tea only
ARG,2010,37221.0,402000.0,10800.4,Tea,Argentina,10260.1313108254,14.9,553.24,tea only
ARG,2011,36989.0,404000.0,10922.2,Tea,Argentina,12704.2831819684,15.15,565.2,tea only
ARG,2012,39322.0,360000.0,9155.2,Tea,Argentina,12949.717486654,15.61,622.43,tea only
ARG,2013,37499.0,350000.0,9333.5,Tea,Argentina,12963.675773326,15.4,520.19,tea only
ARG,2014,38507.0,361000.0,9375.0,Tea,Argentina,12233.1444119186,15.41,700.3,tea only
ARG,2015,39600.0,359000.0,9065.7,Tea,Argentina,13679.6264980954,15.51,648.89,tea only
ARG,2016,39221.0,370000.0,9433.7,Tea,Argentina,12699.9623137756,14.94,660.45,tea only
ARG,2017,39221.0,354000.0,9025.8,Tea,Argentina,14532.5009308511,15.57,633.1,tea only
ARG,2018,39611.0,360000.0,9088.4,Tea,Argentina,11752.7998922979,15.27,595.47,tea only
ARG,2019,34130.0,362000.0,10606.5,Tea,Argentina,9955.97478680428,15.22,588.62,tea only
ARG,2020,32980.0,335225.0,10164.5,Tea,Argentina,8535.59938004389,15.55,497.52,tea only
ARG,2021,30100.0,336130.0,11167.1,Tea,Argentina,10738.0179223384,15.42,536.52,tea only
ARG,2022,30100.0,355144.0,11798.8,Tea,Argentina,13962.1894087223,15.13,479.21,tea only
ARG,2023,30100.0,344203.0,11435.3,Tea,Argentina,14261.8465667948,15.95,565.34,tea only
ARG,2024,29869.0,356753.0,11943.9,Tea,,,15.56,600.01,tea only
BGD,2000,48600.0,200000.0,4115.2,Tea,Bangladesh,396.670730249751,25.28,2332.93,tea only
BGD,2001,48600.0,226000.0,4650.2,Tea,Bangladesh,394.65641001891,25.86,2252.27,tea only
BGD,2002,50990.0,252000.0,4942.1,Tea,Bangladesh,393.886422327628,25.76,2301.65,tea only
BGD,2003,50977.0,250000.0,4904.2,Tea,Bangladesh,426.74880754362,25.78,2150.53,tea only
BGD,2004,53215.0,250000.0,4697.9,Tea,Bangladesh,455.614016909798,25.7,2214.81,tea only
BGD,2005,53239.0,250000.0,4695.8,Tea,Bangladesh,480.08585075452,25.97,1991.46,tea only
BGD,2006,52609.0,252000.0,4790.1,Tea,Bangladesh,490.388026533289,26.19,1901.93,tea only
BGD,2007,57580.0,254000.0,4411.3,Tea,Bangladesh,537.955492792911,25.97,2456.52,tea only
BGD,2008,58005.0,257000.0,4430.7,Tea,Bangladesh,613.06204104124,25.74,2155.42,tea only
BGD,2009,59000.0,259000.0,4389.8,Tea,Bangladesh,679.211477428056,26.49,1957.16,tea only
BGD,2010,52236.0,261000.0,4996.6,Tea,Bangladesh,757.385280361508,26.38,2193.72,tea only
BGD,2011,56670.0,263000.0,4640.9,Tea,Bangladesh,837.336944695647,25.74,1994.39,tea only
BGD,2012,57900.0,272000.0,4697.8,Tea,Bangladesh,859.680536375497,25.47,1947.81,tea only
BGD,2013,58300.0,288000.0,4940.0,Tea,Bangladesh,958.262989798283,25.18,1996.31,tea only
BGD,2014,59925.0,277000.0,4622.4,Tea,Bangladesh,1094.46199702838,25.65,1770.36,tea only
BGD,2015,60424.0,287000.0,4749.8,Tea,Bangladesh,1224.38647668165,25.45,2486.1,tea only
BGD,2016,60059.0,280000.0,4662.1,Tea,Bangladesh,1649.28380858601,25.88,2076.43,tea only
BGD,2017,53856.0,356000.0,6610.2,Tea,Bangladesh,1811.08221668646,25.68,2681.73,tea only
BGD,2018,67043.0,340000.0,5071.4,Tea,Bangladesh,1965.24372731467,25.3,1770.57,tea only
BGD,2019,54001.0,394000.0,7296.2,Tea,Bangladesh,2129.79896954606,25.65,1989.33,tea only
BGD,2020,59364.0,412000.0,6940.2,Tea,Bangladesh,2248.85078828233,25.42,2428.5,tea only
BGD,2021,54936.0,412000.0,7499.6,Tea,Bangladesh,2482.84917843357,25.76,2092.51,tea only
BGD,2022,56646.0,426721.0,7533.1,Tea,Bangladesh,2716.48592780431,25.75,1757.35,tea only
BGD,2023,57228.0,405252.0,7081.4,Tea,Bangladesh,2551.01773827307,26.02,2074.6,tea only
BGD,2024,58754.0,437652.0,7448.9,Tea,,,26.18,2020.96,tea only
CHN,2000,879500.0,2971000.0,3378.1,Tea,China,969.199513696287,7.25,601.03,tea only
CHN,2001,887760.0,3051000.0,3436.7,Tea,China,1065.40597574519,7.61,577.3,tea only
CHN,2002,894800.0,3241000.0,3622.0,Tea,China,1163.55957673426,7.84,633.56,tea only
CHN,2003,925200.0,3340000.0,3610.0,Tea,China,1306.97245408557,7.53,599.3,tea only
