economy,Country,year,gdp_per_capita,country_ISO3,country_name
VNM,Viet Nam,2000,404.029784055118,VNM,Vietnam
UGA,Uganda,2000,258.050338731086,UGA,Uganda
TZA,Tanzania,2000,401.698150634766,TZA,Tanzania
TUR,Turkiye,2000,4199.3798635759,TUR,Türkiye
RWA,Rwanda,2000,251.86926386091,RWA,Rwanda
PER,Peru,2000,1945.41338451698,PER,Peru
NIC,Nicaragua,2000,1017.3124434882,NIC,Nicaragua
MWI,Malawi,2000,224.22415918428,MWI,Malawi
MEX,Mexico,2000,7524.0271380091,MEX,Mexico
LKA,Sri Lanka,2000,860.199884304769,LKA,Sri Lanka
KEN,Kenya,2000,414.626365130846,KEN,Kenya
JPN,Japan,2000,39169.3595701504,JPN,Japan
IRN,"Iran, Islamic Rep.",2000,1650.01385833785,IRN,Iran
IND,India,2000,442.750218937263,IND,India
IDN,Indonesia,2000,763.711124950924,IDN,Indonesia
HND,Honduras,2000,1092.56400746252,HND,Honduras
GTM,Guatemala,2000,1648.96578971559,GTM,Guatemala
GIN,Guinea,2000,518.157066924026,GIN,Guinea
ETH,Ethiopia,2000,122.269202606069,ETH,Ethiopia
CRI,Costa Rica,2000,3812.75388284924,CRI,Costa Rica
COL,Colombia,2000,2555.00751039968,COL,Colombia
CIV,Cote d'Ivoire,2000,936.636541348798,CIV,Côte d'Ivoire
CHN,China,2000,969.199513696287,CHN,China
BRA,Brazil,2000,3766.54786339835,BRA,Brazil
BGD,Bangladesh,2000,396.670730249751,BGD,Bangladesh
ARG,Argentina,2000,7637.01489203628,ARG,Argentina
VNM,Viet Nam,2001,419.205677580901,VNM,Vietnam
UGA,Uganda,2001,236.021188853993,UGA,Uganda
TZA,Tanzania,2001,396.638732910156,TZA,Tanzania
TUR,Turkiye,2001,3052.2256706793,TUR,Türkiye
RWA,Rwanda,2001,237.308846200901,RWA,Rwanda
PER,Peru,2001,1929.57273038846,PER,Peru
NIC,Nicaragua,2001,1051.874235891,NIC,Nicaragua
MWI,Malawi,2001,215.474524898357,MWI,Malawi
MEX,Mexico,2001,7952.76479510706,MEX,Mexico
LKA,Sri Lanka,2001,803.544026627385,LKA,Sri Lanka
KEN,Kenya,2001,410.700452474814,KEN,Kenya
JPN,Japan,2001,34406.1824638092,JPN,Japan
IRN,"Iran, Islamic Rep.",2001,1881.02266635283,IRN,Iran
IND,India,2001,450.357900514128,IND,India
